Eidgenössisches Departement des Innern EDI
Bundesamt für Meteorologie und Klimatologie
MeteoSchweiz

Erstellungsdatum: 17.12.2021 / Stand: 01.01.2022

Monatswerte Niederschlagssumme / Millimeter / Normwerte 1991-2020

Station	Stationshöhe [m]	CH Koordinaten	Referenzperiode	Jan	Feb	Mar	Apr	Mai	Jun	Jul	Aug	Sep	Okt	Nov	Dez	Jahr
Ulrichen	1345	2666747 / 1150766	01.1991-12.2020	97.0	81.4	89.3	87.6	116.0	95.3	86.3	100.4	88.9	106.7	124.2	109.7	1182.8
Unterkulm	454	2650838 / 1241212	01.1991-12.2020	84.7	74.9	81.3	83.0	120.3	109.4	120.8	111.2	84.5	91.6	85.1	101.1	1147.9
Unterschächen	1470	2701900 / 1191999	01.1991-12.2020	130.2	126.5	142.3	140.9	186.9	211.2	222.2	233.0	166.5	136.6	146.2	148.7	1991.2
Urnerboden	1395	2712650 / 1195249	01.1991-12.2020	98.1	94.2	118.0	119.6	169.5	210.0	247.3	247.8	170.3	134.1	120.0	116.3	1845.2
Urnäsch	825	2739206 / 1241761	01.1991-12.2020	117.1	109.6	136.4	129.3	191.1	192.6	201.7	205.7	148.6	121.0	120.5	142.4	1816.0
Uster	438	2694760 / 1245190	01.1991-12.2020	67.0	66.7	72.6	84.2	129.1	138.2	130.9	126.5	89.8	86.9	80.1	93.4	1165.4
Vaduz	457	2757723 / 1221699	01.1991-12.2020	41.1	33.8	54.4	56.7	90.2	116.4	130.3	144.4	95.8	67.7	55.7	53.6	940.1
Valeyres-sous-Rances	510	2530240 / 1178344	01.1991-12.2020	77.0	63.1	65.3	61.7	81.1	84.4	80.2	82.1	79.9	87.7	82.6	96.3	941.4
Vallorbe	748	2519399 / 1174060	01.1991-12.2020	120.3	104.1	101.3	95.3	115.9	107.9	113.3	106.5	102.2	117.3	119.9	148.9	1352.9
Vals	1242	2734017 / 1165551	01.1991-12.2020	59.4	40.0	56.6	82.5	101.6	117.3	119.0	140.8	115.4	111.9	110.3	67.1	1121.9
Vella	1245	2732650 / 1175669	01.1991-12.2020	66.3	51.8	65.2	74.6	91.0	106.0	108.6	134.9	94.2	92.7	94.0	72.7	1052.0
Vevey / Corseaux	405	2552105 / 1146847	01.1991-12.2020	74.8	65.1	71.1	86.1	110.3	106.0	131.8	130.6	107.2	98.4	88.5	89.1	1159.0
Vicosoprano	1089	2768486 / 1135865	01.1991-12.2020	68.5	49.5	68.2	119.7	131.2	142.8	129.1	151.3	129.3	150.1	152.4	82.6	1374.7
Villars-Tiercelin	859	2544197 / 1163651	01.1991-12.2020	103.5	88.5	95.5	101.2	124.8	116.3	119.6	123.6	110.4	130.3	119.7	128.7	1362.1
Vira, Gambarogno	225	2709402 / 1111548	01.1991-12.2020	68.4	62.4	90.9	169.9	203.0	184.5	148.2	195.4	190.8	203.3	222.0	87.5	1826.3
Visp	639	2631150 / 1128024	01.1991-12.2020	56.6	38.8	43.1	40.4	56.5	43.8	47.2	49.7	36.3	51.6	61.3	65.2	590.5
Vrin	1384	2727424 / 1168525	01.1991-12.2020	60.8	44.2	62.2	80.2	102.3	126.2	136.7	155.2	109.2	99.4	89.5	66.9	1132.8
Vättis	939	2752732 / 1197281	01.1991-12.2020	88.0	70.6	80.8	65.6	97.3	124.0	135.6	153.9	99.5	89.8	93.4	92.5	1191.0
Wahlendorf	760	2592250 / 1205940	01.1991-12.2020	82.9	76.3	82.2	88.7	114.6	108.6	112.3	117.6	91.1	103.1	94.5	108.9	1180.8
Wald / Tanne	1075	2757025 / 1254229	01.1991-12.2020	58.6	59.8	78.1	88.9	140.6	170.8	162.7	169.9	130.2	91.9	83.1	77.6	1312.2
Waldegg	545	2676761 / 1246210	01.1991-12.2020	69.1	62.1	71.8	82.2	125.6	125.9	126.3	119.2	88.2	86.4	81.0	89.2	1127.0
