xtf_id,DamName,DamHeight,CrestLevel,CrestLength,DamType,ConstructionYear,facilityR2,geometry
130677031.0,Vordersee,22.0,2362.7,145.0,dt7,1986.0,130676470.0,POINT (2651069.861 1143399.584)
130677032.0,Waldialp Nord,15.0,1406.5,68.0,dt7,1961.0,130676476.0,POINT (2706670.746 1196829.702)
130677033.0,Waldialp Süd,14.0,1406.5,300.0,dt7,1961.0,130676476.0,POINT (2706810.743 1196419.7)
130677036.0,Wanna,14.0,1721.5,950.0,dt7,1957.0,130676485.0,POINT (2741010.881 1164379.515)
130677038.0,Wenigerweiher,14.5,839.0,120.0,dt7,1822.0,130676491.0,POINT (2748880.57 1253699.604)
130677039.0,Wettingen,29.0,382.74,133.0,dt1,1933.0,130676494.0,POINT (2666560.936 1256580.008)
130676868.0,Wichelsee (Damm),7.0,459.07,120.0,dt7,1957.0,130676497.0,POINT (2663990.678 1197749.885)
130677040.0,Wichelsee (Wehr),13.0,463.9,20.0,dt1,1957.0,130676497.0,POINT (2664040.68 1197769.887)
132025208.0,Wildegg-Brugg,15.0,349.7,74.4,dt1,1953.0,132025195.0,POINT (2655116.869 1257810.15)
131897812.0,Wohlen,5.2,423.2,250.0,dt7,2017.0,131897809.0,POINT (2664041.826 1243871.967)
132024983.0,Wynau - Schwarzhäusern,10.0,409.1,95.0,dt1,1896.0,132024979.0,POINT (2626269.486 1233982.254)
130677048.0,Z´Mutt,74.0,1972.25,144.0,dt8,1963.0,130676518.0,POINT (2620989.186 1095169.671)
130677042.0,Zen Binnen,21.5,1310.5,46.0,dt8,1953.0,130676503.0,POINT (2656449.779 1134619.518)
130677043.0,Zermeiggern,14.0,1739.0,350.0,dt7,1964.0,130676506.0,POINT (2640199.404 1103629.527)
130677044.0,Zervreila,151.0,1863.5,504.0,dt8,1957.0,130676509.0,POINT (2728740.628 1159909.547)
130677045.0,Zervreila Ausgleichsbecken,44.0,1738.0,70.0,dt3,1957.0,130676512.0,POINT (2728950.633 1160049.541)
130677046.0,Zeuzier,156.0,1778.0,256.0,dt8,1957.0,130676515.0,POINT (2599809.482 1132920.087)
130677049.0,Zöt,36.0,1941.25,145.0,dt8,1967.0,130676521.0,POINT (2681980.128 1143219.531)
130676923.0,Le Chalet,16.0,465.1,35.0,"dt5
",1894.0,130676167.0,POINT (2529788.353 1175557.087)
