date,niederschlag_d_mm
2023-03-16,0
2023-03-17,0
2023-03-18,0
2023-03-19,0
2023-03-20,0
2023-03-21,0
2023-03-22,0
2023-03-23,0
2023-03-24,4.5
2023-03-25,0
2023-03-26,0
2023-03-27,0
2023-03-28,0
2023-03-29,0
2023-03-30,0
2023-03-31,6.3
2023-04-01,0
2023-04-02,0
2023-04-03,0
2023-04-04,0
2023-04-05,0
2023-04-06,0
2023-04-07,0
2023-04-08,0
2023-04-09,0
2023-04-10,0
2023-04-11,0
2023-04-12,7.4
2023-04-13,0
2023-04-14,0
2023-04-15,0
2023-04-16,0
2023-04-17,0
2023-04-18,0
2023-04-19,0.9
2023-04-20,52.2
2023-04-21,0.8
2023-04-22,0
2023-04-23,24.9
2023-04-24,0
2023-04-25,0
2023-04-26,0
2023-04-27,0
2023-04-28,0
2023-04-29,0
2023-04-30,17.6
2023-05-01,6.3
2023-05-02,0
2023-05-03,0
2023-05-04,0
2023-05-05,0
2023-05-06,1.5
2023-05-07,23
2023-05-08,0.2
2023-05-09,27.5
2023-05-10,0
2023-05-11,0
2023-05-12,0.8
2023-05-13,4
2023-05-14,0
2023-05-15,0
2023-05-16,0
2023-05-17,0
2023-05-18,5.2
2023-05-19,7.2
2023-05-20,2
2023-05-21,0
2023-05-22,0.7
2023-05-23,6.1
2023-05-24,16.5
2023-05-25,0.2
2023-05-26,0
2023-05-27,9.1
2023-05-28,2.2
2023-05-29,0.4
2023-05-30,0.2
2023-05-31,0
2023-06-01,0.6
2023-06-02,1
2023-06-03,14.7
2023-06-04,19.1
2023-06-05,2.1
2023-06-06,0.9
2023-06-07,8.4
2023-06-08,0.2
2023-06-09,0
2023-06-10,11.5
2023-06-11,14
2023-06-12,5.3
2023-06-13,8.1
2023-06-14,0
2023-06-15,0
2023-06-16,0
2023-06-17,0
2023-06-18,0
2023-06-19,0.7
2023-06-20,0
2023-06-21,0
2023-06-22,15.2
2023-06-23,0
2023-06-24,0
2023-06-25,0
2023-06-26,0
2023-06-27,0
2023-06-28,0.5
2023-06-29,13.2
2023-06-30,5.5
2023-07-01,0
2023-07-02,0
2023-07-03,0
2023-07-04,11.6
2023-07-05,0
2023-07-06,17.1
2023-07-07,0
2023-07-08,0
2023-07-09,0
2023-07-10,0
2023-07-11,58.4
2023-07-12,24.2
2023-07-13,0
2023-07-14,0.1
2023-07-15,0
2023-07-16,0.6
2023-07-17,0
2023-07-18,0.6
2023-07-19,1.6
2023-07-20,0
2023-07-21,2.5
2023-07-22,0
2023-07-23,22.8
2023-07-24,24.8
2023-07-25,0.3
2023-07-26,0
2023-07-27,0
2023-07-28,0
