date,pv_einspeisung_ch_gwh
2023-10-24,1.8
2023-10-25,7
2023-10-26,3.2
2023-10-27,7.9
2023-10-28,7.1
2023-10-29,6.4
2023-10-30,3.4
2023-10-31,4.4
2023-11-01,5.7
2023-11-02,1.4
2023-11-03,5.4
2023-11-04,3.1
2023-11-05,4.4
2023-11-06,6.3
2023-11-07,6.2
2023-11-08,7.7
2023-11-09,2.2
2023-11-10,4.5
2023-11-11,5.8
2023-11-12,1.7
2023-11-13,2.5
2023-11-14,1.5
2023-11-15,5.6
2023-11-16,3
2023-11-17,3.6
2023-11-18,2.6
2023-11-19,2.8
2023-11-20,5.1
2023-11-21,3.3
2023-11-22,3.3
2023-11-23,6.1
2023-11-24,3.2
2023-11-25,4.7
2023-11-26,4.8
2023-11-27,2.4
2023-11-28,2.4
2023-11-29,6
2023-11-30,1.1
2023-12-01,0.8
2023-12-02,1.5
2023-12-03,5.8
2023-12-04,2
2023-12-05,4.4
2023-12-06,3.1
2023-12-07,4.8
2023-12-08,1.2
2023-12-09,1.9
2023-12-10,3.6
2023-12-11,0.9
2023-12-12,1.6
2023-12-13,3
2023-12-14,2
2023-12-15,3.9
2023-12-16,4.9
2023-12-17,4.7
2023-12-18,4.9
2023-12-19,5.1
2023-12-20,2.4
2023-12-21,1
2023-12-22,0.7
2023-12-23,3.3
2023-12-24,3.6
2023-12-25,4.9
2023-12-26,4.6
2023-12-27,4.9
2023-12-28,2.6
2023-12-29,4.2
2023-12-30,5
2023-12-31,2.4
